,neuronIndex,x,y
0,135,469.0904337533608,34.90156788855209
1,173,276.527127124971,64.28391047992736
2,289,378.4771930972372,114.51552012070806
3,319,160.83667218314616,143.19104781992752
4,357,474.01143280773294,129.69128708506324
5,382,186.61473552286932,162.39232933052705
6,497,69.85885821687869,207.20446760954917
7,500,116.14856076216564,200.13452796737053
8,548,469.4658017926003,211.3951552046459
9,618,110.16934080870402,252.56073196973367
10,628,188.2381259908814,246.21549692634315
12,743,92.5344892273121,307.75328958635595
13,755,184.62893918803667,301.4896224181442
14,879,150.0086854312306,345.5462532709418
16,1172,327.9461591795931,442.1837453184555
21,1299,24.539681377817875,263.5838152238801
24,1306,407.4005387345745,119.05786054478408
25,1307,100.92941347589812,189.9841838536633
26,1310,242.1222072249466,313.8592960409392
27,1311,169.37108462398794,148.44019125380163
31,1325,280.06150142608504,488.6432180197988
33,1336,191.28684944640017,278.4478434019527
34,1348,244.18189442288988,250.01269968312812
35,1353,449.2731407536556,76.04110378695592
36,1359,110.33906657755143,291.11756578196014
37,1363,135.46709140761064,215.997464022417
38,1368,459.7121767875106,253.4097293886312
39,1369,24.122501660184,112.1541566243707
40,1381,183.57397264346776,103.28031206049369
41,1387,77.36985399641327,402.1539952949212
42,1394,112.074177174083,103.6307231377566
43,1396,115.9539206780476,363.8290505749649
44,1402,432.8061227156138,444.3433266419333
45,1410,360.6901251464272,251.93058017842984
46,1413,100.65613997917498,379.2223398487002
47,1416,209.14251579213845,418.516342252273
48,1450,180.37445117020096,389.4635565790152
49,1491,479.2491530779658,346.9813433110968
50,1504,317.3291120800107,348.86365969284554
51,1507,356.6901565835466,77.90232757592871
52,1513,28.35610450673037,130.83398610699592
